,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
427,427,Ascension,US,30.2169,-90.9001,72.07,94,0,0.0,mist,Highland Inn
428,428,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.62,98,99,1.21,overcast clouds,Alarne - Área De Lazer Do Alto Rio Negro
431,431,Areia Branca,BR,-4.9561,-37.1369,73.87,83,15,13.49,few clouds,Areia Branca Apart Hotel
434,434,Nisia Floresta,BR,-6.0911,-35.2086,76.01,89,86,7.27,overcast clouds,Rancho Crepusculo
435,435,Caucaia,BR,-3.7361,-38.6531,80.55,76,40,19.57,scattered clouds,M.O.S. Logística - Filial Fortaleza
436,436,Nanga Eboko,CM,4.6833,12.3667,67.73,97,54,0.67,broken clouds,Motel Papi Palace
439,439,Balkanabat,TM,39.5108,54.3671,72.57,38,59,3.06,broken clouds,Nebitchi Hotel
442,442,Kapoeta,SS,4.7717,33.5903,81.99,51,100,8.79,overcast clouds,Eastgate Hotel
446,446,Sangueya,GN,10.7,-14.3667,72.73,97,100,2.91,moderate rain,
449,449,Andros Town,BS,24.7,-77.7667,78.76,65,1,14.29,clear sky,Hanks place
450,450,Vila Velha,BR,-20.3297,-40.2925,67.95,93,20,2.3,few clouds,Hotel Vitória Palace
451,451,Mufulira,ZM,-12.5498,28.2407,75.49,29,3,11.05,clear sky,Kamiria lodge
452,452,Cabedelo,BR,-6.9811,-34.8339,74.07,83,63,11.18,broken clouds,Pousada Camboinha
453,453,Alto Araguaia,BR,-17.3147,-53.2153,76.95,34,53,2.51,broken clouds,Araguaia Palace Hotel
455,455,Beira,MZ,-19.8436,34.8389,75.29,94,20,5.75,mist,Beira Terrace Hotel
456,456,Mpophomeni,ZA,-29.5682,30.1862,66.02,77,89,3.53,overcast clouds,Merci Dieu
457,457,Doka,SD,13.5167,35.7667,81.88,57,3,7.16,clear sky,منصور عثمان
458,458,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.91,98,100,2.33,moderate rain,Hotel GSA
459,459,Ponta Delgada,PT,37.7333,-25.6667,68.72,60,20,21.85,few clouds,Vila Nova Hotel
460,460,Kumta,IN,14.4167,74.4,84.56,70,89,1.28,overcast clouds,Hotel Vaibhav Palace
462,462,Elizabeth City,US,36.2946,-76.2511,68.02,76,75,13.8,broken clouds,Hampton Inn Elizabeth City
463,463,Makokou,GA,0.5738,12.8642,68.94,90,53,0.87,broken clouds,Hôtel Arizona
466,466,Chlorakas,CY,34.8042,32.4083,68.88,68,20,6.91,few clouds,Elysium Hotel
467,467,Sabha,LY,27.0377,14.4283,67.06,48,5,9.62,clear sky,محطة ام الارانب -سبها مواصلات
468,468,Mafinga,TZ,-7.25,35.0667,75.9,41,24,5.75,few clouds,
469,469,Gazanjyk,TM,39.2446,55.5154,71.83,35,94,3.11,overcast clouds,Railway motel
470,470,Hobyo,SO,5.3505,48.5268,81.27,71,9,10.11,light rain,Halane Hotel and Restaurent
472,472,Clarence Town,AU,-32.5833,151.7833,68.99,90,73,4.65,broken clouds,River Downs Cottage
473,473,Goiatuba,BR,-18.0125,-49.3547,71.02,41,7,5.3,clear sky,Hotel Barrocos
